tid,name,root,extensible,ordersignificant,templatecontentitem,includetemplate
5302,PostcoordinatedEchoMeasurement,F,T,T,,
5303,AdhocMeasurement,F,F,T,,
5401,UltrasoundShearWaveElastographySection,F,T,T,,
5402,ShearWaveElastographyMeasurement,F,T,T,,
7000,ImplantationPlan,T,T,T,,
7001,RelatedImplantationReports,F,T,T,,
8101,PreclinicalSmallAnimalImageAcquisitionContext,T,T,F,,
8110,BiosafetyConditions,F,T,F,,
8121,AnimalHousing,F,T,F,,
8122,AnimalFeeding,F,T,F,,
8130,Anesthesia,F,T,F,,
8131,MedicationsandMixtureMedications,F,T,F,,
8140,HeatingConditions,F,T,F,,
8150,CircadianEffects,F,T,F,,
8170,PhysiologicalMonitoringPerformedDuringProcedure,F,T,F,,
8182,ExogenousSubstanceAdministration,F,T,T,,
9000,RelevantPatientInformationforBreastImaging,F,T,T,,
9001,GynecologicalHistory,F,T,T,,
9002,"Medication,Substance,EnvironmentalExposure",F,T,T,,
9003,PreviousProcedure,F,T,T,,
9004,IndicatedProblem,F,T,T,,
9005,RiskFactor,F,T,T,,
9006,ObstetricHistory,F,T,T,,
9007,GeneralRelevantPatientInformation,F,T,T,,
10001,ProjectionXRayRadiationDose,T,T,F,,
10002,AccumulatedXRayDose,F,T,F,,
10003,IrradiationEventXRayData,F,T,F,,
10003A,IrradiationEventXRayDetectorData,F,T,F,,
10003B,IrradiationEventXRaySourceData,F,T,F,,
10003C,IrradiationEventXRayMechanicalData,F,T,F,,
10004,AccumulatedFluoroscopyandAcquisitionProjectionXRayDose,F,T,F,,
10005,AccumulatedMammographyXRayDose,F,T,T,,
10006,AccumulatedCassetteBasedProjectionRadiographyDose,F,T,F,,
10007,AccumulatedTotalProjectionRadiographyDose,F,T,F,,
10011,CTRadiationDose,T,T,T,,
10012,CTAccumulatedDoseData,F,T,T,,
10013,CTIrradiationEventData,F,T,T,,
10014,ScanningLength,F,T,T,,
10015,CTDoseCheckDetails,F,T,T,,
10021,RadiopharmaceuticalRadiationDose,T,T,T,,
10022,RadiopharmaceuticalAdministrationEventData,F,T,T,,
10023,OrganDose,F,T,T,,
10024,ImagingAgentAdministrationPatientCharacteristics,F,T,T,,
10030,PatientRadiationDose,T,T,F,,
10031,RadiationDoseEstimate,F,T,F,,
10032,RadiationDoseEstimateRepresentation,F,T,F,,
10033,RadiationDoseEstimateMethodology,F,T,F,,
10034,RadiationDoseEstimateParameters,F,T,F,,
10040,EnhancedXRayRadiationDose,T,T,F,,
10041,AccumulatedDoseData,F,T,F,,
10042,IrradiationEventSummaryData,F,T,F,,
10043,IrradiationDetails,F,T,F,,
10044,RadiationSourceCharacteristics,F,T,F,,
10045,RadiationTechnique,F,T,F,,
10046,Filtration,F,T,F,,
10047,Attenuators,F,T,F,,
10048,RadiationOutput,F,T,F,,
10049,RadiationFieldArea,F,T,F,,
10050,XRaySourceReferenceCoordinateSystem,F,T,F,,
10051,BeamPosition,F,T,F,,
10052,AttenuatorPosition,F,T,F,,
10053,PatientAttenuationCharacteristics,F,T,F,,
10054,ProcedureCharacteristics,F,T,F,,
10055,AttenuatorCharacteristics,F,T,F,,
11001,PlannedImagingAgentAdministration,T,T,F,,
11002,ImagingAgentInformation,F,T,F,,
11003,ImagingAgentAdministrationActivity,F,T,F,,
11004,ImagingAgentComponent,F,T,F,,
11005,ImagingAgentAdministrationConsumable,F,T,F,,
11006,ImagingAgentAdministrationSteps,F,T,F,,
11007,ImagingAgentAdministrationStep,F,T,F,,
11008,ImagingAgentAdministrationPhase,F,T,F,,
11020,PerformedImagingAgentAdministration,T,T,F,,
11021,ImagingAgentAdministrationAdverseEvents,F,T,F,,
11022,ImagingAgentAdministrationInjectorEvents,F,T,F,,
11023,ImagingAgentAdministrationGraph,F,T,F,,
12000,GeneralUltrasoundReport,T,T,T,,
12001,UltrasoundPatientCharacteristics,F,T,T,,
